商品名称,型号,仓库,类别,数量,已签单,在途,待售,3月内,3-9月,9月+
十甲基环五硅氧烷(D5),D5≥98.5%,环世-鹿特丹仓,,1.9,0,0,1.9,0.0,1.9,0.0
室温硫化甲基硅橡胶(107胶),107-2,环世-鹿特丹在途仓,,57.0,0,0,57.0,57.0,0.0,0.0
室温硫化甲基硅橡胶(107胶),107-8,环世-鹿特丹在途仓,,494.0,0,0,494.0,494.0,0.0,0.0
室温硫化甲基硅橡胶(107胶),107-8,印度蒙德拉一号在途仓,,209.0,0,0,209.0,209.0,0.0,0.0
室温硫化甲基硅橡胶(107胶),107-8,意大利热那亚在途仓,,95.0,0,0,95.0,95.0,0.0,0.0
混炼硅橡胶,HS-114110,蒙德拉一号仓库,,9.6,0,0,9.6,0.0,9.6,0.0
混炼硅橡胶,HS-3441,蒙德拉一号仓库,,133.44,0,0,133.44,22.08,111.36,0.0
混炼硅橡胶,HS-3431,蒙德拉一号仓库,,1.92,0,0,1.92,1.92,0.0,0.0
混炼硅橡胶,HS-3431,蒙德拉一号仓库,,52.8,0,0,52.8,36.48,16.32,0.0
混炼硅橡胶,HS-3461,蒙德拉一号仓库,,19.2,0,0,19.2,0.0,14.4,4.8
混炼硅橡胶,HS-3471,环世-鹿特丹仓,,1.92,0,0,1.92,0.0,0.0,1.92
混炼硅橡胶,HS-3471,蒙德拉一号仓库,,11.52,0,0,11.52,7.68,3.84,0.0
甲基乙烯基硅橡胶,110-0,蒙德拉一号仓库,,71.75,0,0,71.75,54.25,17.5,0.0
聚二甲基硅氧烷(201甲基硅油),350cs,环世-鹿特丹在途仓,,57.0,0,0,57.0,0.0,57.0,0.0
聚二甲基硅氧烷(201甲基硅油),350cs,意大利热那亚在途仓,,57.0,0,0,57.0,0.0,57.0,0.0
聚二甲基硅氧烷(201甲基硅油),350cs,意大利热那亚仓库,,15.2,0,0,15.2,0.0,15.2,0.0
聚二甲基硅氧烷(201甲基硅油),100cs,德国汉堡仓库,,5.7,0,0,5.7,0.0,5.7,0.0
乙烯基封端的二甲基硅油,HS-500,意大利热那亚仓库,,2.85,0,0,2.85,0.0,0.0,2.85
混炼硅橡胶,HS-5262G,环世-鹿特丹仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-5272G,环世-鹿特丹仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-1560PT,意大利热那亚在途仓,,32.4,0,0,32.4,32.4,0.0,0.0
混炼硅橡胶,HS-1562PT,环世-鹿特丹仓,,4.8,0,0,4.8,0.0,4.8,0.0
混炼硅橡胶,HS-1572PT,环世-鹿特丹仓,,1.92,0,0,1.92,0.0,1.92,0.0
混炼硅橡胶,HS-5360,意大利热那亚在途仓,,64.8,0,0,64.8,56.16,8.64,0.0
混炼硅橡胶,HS-5360,意大利热那亚仓库,,13.5,0,0,13.5,0.0,13.5,0.0
聚二甲基硅氧烷(201甲基硅油),100cs,德国汉堡仓库,,6.65,0,0,6.65,0.0,0.0,6.65
混炼硅橡胶,HS-5370,意大利热那亚在途仓,,12.96,0,0,12.96,12.96,0.0,0.0
混炼硅橡胶,HS-533010,意大利热那亚在途仓,,3.84,0,0,3.84,3.84,0.0,0.0
混炼硅橡胶,HS-535010,环世-鹿特丹仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-534010,意大利热那亚在途仓,,7.68,0,0,7.68,7.68,0.0,0.0
混炼硅橡胶,HS-534010,环世-鹿特丹仓,,9.6,0,0,9.6,0.0,0.0,9.6
混炼硅橡胶,HS-537010,环世-鹿特丹仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-537010,蒙德拉一号仓库,,7.68,0,0,7.68,6.72,0.96,0.0
混炼硅橡胶,HS-536010,环世-鹿特丹在途仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-536010,环世-鹿特丹仓,,0.96,0,0,0.96,0.0,0.96,0.0
混炼硅橡胶,HS-538010,意大利热那亚在途仓,,8.64,0,0,8.64,8.64,0.0,0.0
混炼硅橡胶,HS-538010,环世-鹿特丹仓,,3.84,0,0,3.84,0.0,3.84,0.0
混炼硅橡胶,HS-538010,德国汉堡仓库,,1.92,0,0,1.92,0.0,1.92,0.0
混炼硅橡胶,HS-5340,蒙德拉一号仓库,,236.16,0,0,236.16,199.68,36.48,0.0
混炼硅橡胶,HS-5380,意大利热那亚仓库,,2.7,0,0,2.7,0.0,0.0,2.7
甲基高含氢硅油,20粘度,环世-鹿特丹在途仓,,22.0,0,0,22.0,18.0,4.0,0.0
聚二甲基硅氧烷(201甲基硅油),350cs,蒙德拉一号仓库,,1.52,0,0,1.52,0.0,1.52,0.0
混炼硅橡胶,HS-1540PT,意大利热那亚仓库,,2.7,0,0,2.7,0.0,2.7,0.0
二甲基硅氧烷线性体,密度0.97,蒙德拉一号仓库,,3.8,0,0,3.8,0.0,3.8,0.0
nan,,nan,,,0,0,,1323.49,,
